Date,Best Fit seed=418 OM=139.57675285370735 PM=124.06218029265614 TM=143.3690494680804 
2015-09-24,41.08901919509858
2015-09-25,40.27888646210955
2015-09-28,40.979194643372956
2015-09-29,40.47980241971049
2015-09-30,40.5219257614711
2015-10-01,40.51350453029641
2015-10-02,41.304327224452635
2015-10-05,40.18212278838558
2015-10-06,40.9839272456773
2015-10-07,40.670176687219694
2015-10-08,39.747381984394345
2015-10-09,38.58436511714155
2015-10-12,38.46667689679976
2015-10-13,39.53861797423601
2015-10-14,38.84817973202516
2015-10-15,39.23024926561438
2015-10-16,38.420188197642304
2015-10-19,37.53387467481937
2015-10-20,37.07879429145112
2015-10-21,37.79288776067142
2015-10-22,38.25982613064177
2015-10-23,38.18252693550724
2015-10-26,38.66357301355738
2015-10-27,38.7182953671198
2015-10-28,39.324674924723055
2015-10-29,40.02430407395247
2015-10-30,39.553884841618284
